X,Y
0,108.056
1,108.331
2,119.792
3,139.254
4,156.526
5,163.930
6,154.861
7,128.270
8,97.107
9,80.566
10,85.404
11,112.593
12,146.877
13,164.171
14,170.986
15,169.579
16,157.912
17,134.465
18,102.490
19,80.722
20,78.596
21,112.253
22,151.263
23,193.188
24,215.536
25,219.895
26,207.554
27,178.285
28,148.395
29,126.623
30,114.077
31,111.330
32,121.573
33,130.247
34,126.587
35,106.781
36,82.747
37,51.048
38,30.000
