X,Y
0,52.000
1,37.410
2,43.896
3,66.150
4,93.367
5,114.844
6,133.650
7,146.631
8,149.417
9,139.006
10,120.958
11,107.571
12,111.700
13,129.467
14,156.071
15,175.125
16,189.133
17,187.281
18,170.913
19,141.777
20,105.375
21,81.088
22,82.617
23,102.133
24,127.600
25,145.208
26,149.717
27,137.975
28,107.233
29,71.569
30,39.750
