X,Y
0,177.000
1,161.073
2,142.178
3,120.176
4,101.353
5,93.848
6,99.257
7,112.468
8,118.474
9,115.197
10,94.006
11,80.601
12,75.543
13,84.947
14,106.918
15,131.250
16,152.488
17,163.875
18,160.964
19,137.671
20,116.114
21,100.057
22,104.298
23,129.526
24,161.837
25,187.597
26,200.772
27,190.977
28,164.460
29,133.847
30,101.215
31,86.597
32,98.287
33,127.161
34,157.000
35,174.896
36,172.266
37,150.832
38,128.371
39,107.064
40,93.664
41,88.519
42,96.112
43,107.579
44,115.699
45,117.859
46,113.362
47,98.640
48,79.882
49,62.838
50,56.029
51,58.938
