X,Y
0,24.000
1,58.549
2,89.544
3,117.248
4,134.643
5,140.726
6,133.941
7,114.616
8,97.500
9,96.560
10,112.302
11,133.352
12,161.413
13,179.180
14,180.430
15,168.551
16,145.756
17,123.735
18,109.594
19,113.586
20,131.278
21,157.849
22,186.364
23,200.167
24,198.800
25,170.707
26,137.455
27,110.616
28,101.460
29,111.976
30,143.531
31,175.213
32,186.722
33,185.446
34,167.561
35,144.813
36,121.550
37,104.002
38,98.440
39,106.416
40,124.889
41,147.165
42,160.247
43,150.102
44,126.250
45,101.410
46,83.076
47,75.183
48,84.600
49,113.364
50,147.686
51,187.132
52,210.957
53,213.068
54,190.637
55,149.937
56,103.733
57,69.645
58,52.946
59,61.367
60,86.812
