X,Y
0,43.333
1,69.470
2,106.105
3,151.516
4,184.859
5,197.540
6,189.511
7,165.163
8,137.903
9,114.361
10,98.444
11,107.332
12,131.016
13,159.720
14,184.663
15,195.751
16,186.597
17,160.731
18,133.812
19,114.219
20,107.193
21,112.824
22,129.955
23,148.036
24,153.451
25,146.465
26,125.947
27,100.324
28,58.790
29,35.219
30,27.800
31,28.333
