X,Y
0,62.500
1,66.146
2,82.369
3,107.149
4,133.320
5,157.449
6,164.345
7,158.357
8,141.400
9,128.052
10,130.043
11,150.738
12,175.474
13,197.151
14,206.621
15,198.950
16,176.344
17,140.275
18,107.971
19,91.262
20,97.657
21,119.552
22,146.483
23,169.620
24,179.330
25,169.974
26,148.122
27,118.491
28,80.345
29,43.500
